source_full_name,period,maintenance_commits,commit_file_events,churn,start_size,end_size,mean_size,relative_churn,net_growth,expanding_events,shrinking_events,balanced_content_events,non_content_events,repository_commits,maintenance_commit_share
github/gh-aw-firewall,1,1,1,4,91.0,556.0,259.281001984127,1.5427277623081992,465.0,0,1,0,0,42,2.380952380952381
github/gh-aw-firewall,2,23,39,503,556.0,3017.0,2468.082309441138,20.380195509520796,2461.0,17,7,15,0,168,13.69047619047619
github/gh-aw-firewall,3,4,9,145,3017.0,3296.0,3084.157696759259,4.701445718951455,279.0,2,1,6,0,111,3.6036036036036037
github/gh-aw-firewall,4,21,33,1494,3296.0,4388.0,3669.506741484789,40.713918933842436,1092.0,14,14,5,0,112,18.75
github/gh-aw-mcpg,1,27,28,799,333.0,4529.0,1486.4221486441797,53.753235628841864,4196.0,17,6,5,0,750,3.6
github/gh-aw-mcpg,2,24,40,552,4529.0,5106.0,4648.3178124999995,11.875263746286713,577.0,21,9,10,0,775,3.096774193548387
github/gh-aw-mcpg,3,25,48,250,5106.0,6217.0,5410.475199239418,4.620666222352225,1111.0,22,9,17,0,653,3.8284839203675345
github/gh-aw-mcpg,4,24,129,1735,6217.0,9491.0,8341.946695188492,20.798502596530877,3274.0,66,34,29,0,979,2.4514811031664965
githubnext/ado-aw,1,1,2,24,269.0,337.0,305.80390376984127,7.8481666532495415,68.0,0,0,2,0,92,1.0869565217391304
githubnext/ado-aw,2,11,13,320,337.0,1001.0,691.5256510416666,46.274494592930004,664.0,7,2,4,0,163,6.748466257668712
githubnext/ado-aw,3,10,21,310,1001.0,2248.0,1631.8081783234127,18.997330943549187,1247.0,7,0,14,0,282,3.5460992907801416
githubnext/ado-aw,4,7,26,286,2248.0,2697.0,2425.9998730985444,11.788953625735934,449.0,19,0,7,0,266,2.6315789473684212
githubnext/agentics,1,38,63,301,90.0,614.0,336.50763020833335,89.44819462597314,524.0,28,12,23,0,123,30.89430894308943
githubnext/agentics,2,16,47,356,614.0,556.0,565.029298941799,63.00558230639114,-58.0,13,22,12,0,51,31.372549019607842
githubnext/agentics,3,12,32,103,556.0,576.0,512.6574098875661,20.091390081065935,20.0,3,24,5,0,33,36.36363636363637
githubnext/agentics,4,10,25,87,576.0,609.0,581.8686115244709,14.951829034404128,33.0,6,3,16,0,24,41.666666666666664
kubestellar/console,1,6,6,269,193.0,142.0,141.7866803075397,189.72162929305534,-51.0,4,2,0,0,1075,0.5581395348837209
kubestellar/console,2,3,3,5,142.0,141.0,141.69606977513226,3.52867938252265,-1.0,2,1,0,0,1195,0.2510460251046025
kubestellar/console,3,0,0,0,141.0,141.0,141.0,0.0,0.0,0,0,0,0,2207,0.0
kubestellar/console,4,1,2,2,141.0,143.0,142.5017972883598,1.4034910703286751,2.0,2,0,0,0,2923,0.03421142661648991
kubestellar/docs,1,6,7,108,565.0,757.0,706.9221879133597,15.277494729481665,192.0,7,0,0,0,87,6.896551724137931
kubestellar/docs,2,0,0,0,757.0,757.0,757.0,0.0,0.0,0,0,0,0,217,0.0
kubestellar/docs,3,1,1,24,757.0,733.0,737.9035714285714,3.2524574929941488,-24.0,0,1,0,0,54,1.8518518518518519
kubestellar/docs,4,3,3,12,733.0,721.0,732.9922743055555,1.637125031279344,-12.0,0,3,0,0,193,1.5544041450777202
lablup/backend.ai-webui,1,0,0,0,163.0,472.0,413.09804191468254,0.0,309.0,0,0,0,0,222,0.0
lablup/backend.ai-webui,2,0,0,0,472.0,472.0,472.0,0.0,0.0,0,0,0,0,179,0.0
lablup/backend.ai-webui,3,0,0,0,472.0,472.0,472.0,0.0,0.0,0,0,0,0,274,0.0
lablup/backend.ai-webui,4,2,4,12,472.0,468.0,469.82525132275134,2.5541411335842557,-4.0,0,2,2,0,226,0.8849557522123894
microsoft/GitHub-Copilot-for-Azure,1,0,0,0,106.0,106.0,106.0,0.0,0.0,0,0,0,0,177,0.0
microsoft/GitHub-Copilot-for-Azure,2,2,2,6,106.0,108.0,106.29512896825398,5.644661291856521,2.0,1,0,1,0,187,1.0695187165775402
microsoft/GitHub-Copilot-for-Azure,3,1,1,1,108.0,107.0,107.10324776785716,0.9336785026047649,-1.0,0,1,0,0,127,0.7874015748031497
microsoft/GitHub-Copilot-for-Azure,4,0,0,0,107.0,107.0,107.0,0.0,0.0,0,0,0,0,91,0.0
microsoft/Microsoft-AI-Decision-Framework,1,2,2,4,52.0,48.0,48.002729828042334,8.332859431805213,-4.0,0,2,0,0,27,7.407407407407407
microsoft/Microsoft-AI-Decision-Framework,2,0,0,0,48.0,48.0,48.0,0.0,0.0,0,0,0,0,4,0.0
microsoft/Microsoft-AI-Decision-Framework,3,4,4,223,48.0,129.0,76.38968501984128,291.9242302701975,81.0,3,0,1,0,7,57.142857142857146
microsoft/Microsoft-AI-Decision-Framework,4,0,0,0,129.0,129.0,129.0,0.0,0.0,0,0,0,0,5,0.0
microsoft/aspire,1,3,3,160,54.0,144.0,136.7930919312169,116.96497077531673,90.0,3,0,0,0,382,0.7853403141361257
microsoft/aspire,2,4,4,36,144.0,360.0,201.3168282903439,17.882260666296585,216.0,4,0,0,0,335,1.1940298507462686
microsoft/aspire,3,13,13,3361,360.0,3269.0,1389.6312305720894,241.8627277552138,2909.0,12,0,1,0,340,3.823529411764706
microsoft/aspire,4,12,15,610,3269.0,4262.0,3973.033979001323,15.353505739543962,993.0,10,0,5,0,442,2.7149321266968327
microsoft/vscode-black-formatter,1,4,5,151,112.0,424.0,375.0861123511905,40.25742223658224,312.0,3,2,0,0,41,9.75609756097561
microsoft/vscode-black-formatter,2,1,1,2,424.0,424.0,424.0,0.4716981132075472,0.0,0,0,1,0,20,5.0
microsoft/vscode-black-formatter,3,0,0,0,424.0,424.0,424.0,0.0,0.0,0,0,0,0,13,0.0
microsoft/vscode-black-formatter,4,1,3,48,424.0,462.0,428.35419808201056,11.20567983573495,38.0,3,0,0,0,4,25.0
microsoft/vscode-flake8,1,5,6,165,108.0,428.0,343.8336450066138,47.98832295682587,320.0,3,3,0,0,35,14.285714285714286
microsoft/vscode-flake8,2,2,2,12,428.0,430.0,429.78551008597884,2.7920904075149933,2.0,1,0,1,0,22,9.090909090909092
microsoft/vscode-flake8,3,0,0,0,430.0,430.0,430.0,0.0,0.0,0,0,0,0,17,0.0
microsoft/vscode-flake8,4,1,3,48,430.0,468.0,430.13390790343914,11.15931553361181,38.0,3,0,0,0,1,100.0
microsoft/vscode-isort,1,4,5,154,107.0,422.0,341.0174309689154,45.15898192137794,315.0,3,2,0,0,43,9.30232558139535
microsoft/vscode-isort,2,2,2,12,422.0,424.0,423.7805563822751,2.8316542180324316,2.0,1,0,1,0,22,9.090909090909092
