source_full_name,period,maintenance_commits,commit_file_events,churn,start_size,end_size,mean_size,relative_churn,net_growth,expanding_events,shrinking_events,balanced_content_events,non_content_events
lablup/backend.ai-webui,1,0,0,0,163.0,472.0,413.09804191468254,0.0,309.0,0,0,0,0
lablup/backend.ai-webui,2,0,0,0,472.0,472.0,472.0,0.0,0.0,0,0,0,0
lablup/backend.ai-webui,3,0,0,0,472.0,472.0,472.0,0.0,0.0,0,0,0,0
lablup/backend.ai-webui,4,2,4,12,472.0,468.0,469.82525132275134,2.5541411335842557,-4.0,0,2,2,0
microsoft/GitHub-Copilot-for-Azure,1,0,0,0,106.0,106.0,106.0,0.0,0.0,0,0,0,0
microsoft/GitHub-Copilot-for-Azure,2,2,2,6,106.0,108.0,106.29512896825398,5.644661291856521,2.0,1,0,1,0
microsoft/GitHub-Copilot-for-Azure,3,1,1,1,108.0,107.0,107.10324776785716,0.9336785026047649,-1.0,0,1,0,0
microsoft/GitHub-Copilot-for-Azure,4,0,0,0,107.0,107.0,107.0,0.0,0.0,0,0,0,0
microsoft/Microsoft-AI-Decision-Framework,1,2,2,4,52.0,48.0,48.002729828042334,8.332859431805213,-4.0,0,2,0,0
microsoft/Microsoft-AI-Decision-Framework,2,0,0,0,48.0,48.0,48.0,0.0,0.0,0,0,0,0
microsoft/Microsoft-AI-Decision-Framework,3,4,4,223,48.0,129.0,76.38968501984128,291.9242302701975,81.0,3,0,1,0
microsoft/Microsoft-AI-Decision-Framework,4,0,0,0,129.0,129.0,129.0,0.0,0.0,0,0,0,0
microsoft/aspire,1,3,3,160,54.0,144.0,136.7930919312169,116.96497077531673,90.0,3,0,0,0
microsoft/aspire,2,4,4,36,144.0,360.0,201.3168282903439,17.882260666296585,216.0,4,0,0,0
microsoft/aspire,3,13,13,3361,360.0,3269.0,1389.6312305720894,241.8627277552138,2909.0,12,0,1,0
microsoft/aspire,4,12,15,610,3269.0,4262.0,3973.033979001323,15.353505739543962,993.0,10,0,5,0
microsoft/vscode-black-formatter,1,4,5,151,112.0,424.0,375.0861123511905,40.25742223658224,312.0,3,2,0,0
microsoft/vscode-black-formatter,2,1,1,2,424.0,424.0,424.0,0.4716981132075472,0.0,0,0,1,0
microsoft/vscode-black-formatter,3,0,0,0,424.0,424.0,424.0,0.0,0.0,0,0,0,0
microsoft/vscode-black-formatter,4,1,3,48,424.0,462.0,428.35419808201056,11.20567983573495,38.0,3,0,0,0
microsoft/vscode-flake8,1,5,6,165,108.0,428.0,343.8336450066138,47.98832295682587,320.0,3,3,0,0
microsoft/vscode-flake8,2,2,2,12,428.0,430.0,429.78551008597884,2.7920904075149933,2.0,1,0,1,0
microsoft/vscode-flake8,3,0,0,0,430.0,430.0,430.0,0.0,0.0,0,0,0,0
microsoft/vscode-flake8,4,1,3,48,430.0,468.0,430.13390790343914,11.15931553361181,38.0,3,0,0,0
microsoft/vscode-isort,1,4,5,154,107.0,422.0,341.0174309689154,45.15898192137794,315.0,3,2,0,0
microsoft/vscode-isort,2,2,2,12,422.0,424.0,423.7805563822751,2.8316542180324316,2.0,1,0,1,0
microsoft/vscode-isort,3,0,0,0,424.0,424.0,424.0,0.0,0.0,0,0,0,0
microsoft/vscode-isort,4,1,3,48,424.0,462.0,424.22625330687833,11.314716999675545,38.0,3,0,0,0
microsoft/vscode-mypy,1,4,5,154,107.0,422.0,339.1196569113756,45.41169963504824,315.0,3,2,0,0
microsoft/vscode-mypy,2,2,2,12,422.0,424.0,423.790625,2.831586942254799,2.0,1,0,1,0
microsoft/vscode-mypy,3,0,0,0,424.0,424.0,424.0,0.0,0.0,0,0,0,0
microsoft/vscode-mypy,4,1,3,50,424.0,462.0,424.22930059523804,11.786078879946476,38.0,3,0,0,0
microsoft/vscode-pylint,1,5,6,158,107.0,427.0,348.5470924272487,45.33103372049472,320.0,4,2,0,0
microsoft/vscode-pylint,2,2,2,12,427.0,429.0,428.79089203042327,2.798566905928726,2.0,1,0,1,0
microsoft/vscode-pylint,3,0,0,0,429.0,429.0,429.0,0.0,0.0,0,0,0,0
microsoft/vscode-pylint,4,1,3,48,429.0,467.0,429.2342956349206,11.182703825890405,38.0,3,0,0,0
modeled-information-format/MIF,1,0,0,0,65.0,65.0,65.0,0.0,0.0,0,0,0,0
modeled-information-format/MIF,2,0,0,0,65.0,65.0,65.0,0.0,0.0,0,0,0,0
modeled-information-format/MIF,3,0,0,0,65.0,65.0,65.0,0.0,0.0,0,0,0,0
modeled-information-format/MIF,4,0,0,0,65.0,65.0,65.0,0.0,0.0,0,0,0,0
ohcnetwork/care_fe,1,1,1,154,159.0,235.0,235.07076471560845,65.51218744122058,76.0,0,1,0,0
ohcnetwork/care_fe,2,0,0,0,235.0,235.0,235.0,0.0,0.0,0,0,0,0
ohcnetwork/care_fe,3,0,0,0,235.0,235.0,235.0,0.0,0.0,0,0,0,0
ohcnetwork/care_fe,4,0,0,0,235.0,235.0,235.0,0.0,0.0,0,0,0,0
openvinotoolkit/openvino.genai,1,1,1,127,218.0,287.0,233.19069568452383,54.46186419539406,69.0,1,0,0,0
