model,shots,tp,tn,fp,fn,agreement,kappa,precision,recall,f1
gemini,0,3633,6759,1127,577,0.8591269841269841,0.698757591134537,0.763235294117647,0.8629453681710214,0.8100334448160535
gemini,1,3592,6909,977,618,0.8681382275132276,0.7151037235725018,0.7861676515648939,0.8532066508313539,0.8183164369518169
gemini,3,3587,6913,973,623,0.8680555555555556,0.7147857659523169,0.7866228070175438,0.8520190023752969,0.8180159635119726
gemini,5,3554,6929,957,656,0.8666501322751323,0.7109786427388519,0.7878519175349147,0.8441805225653206,0.8150441463134962
glm_5_2,0,3659,6610,1276,551,0.8489583333333334,0.6800214058537714,0.7414387031408308,0.8691211401425178,0.8002186987424822
glm_5_2,1,3517,6885,1001,693,0.8599537037037037,0.6965805177040543,0.7784417884019478,0.8353919239904988,0.8059120073327223
glm_5_2,3,3496,6957,929,714,0.8641699735449735,0.7042180095209943,0.7900564971751413,0.8304038004750594,0.8097278517660683
glm_5_2,5,3451,6988,898,759,0.8630125661375662,0.7004521403359719,0.7935157507472982,0.8197149643705464,0.8064026171281692
gpt_oss_120b,0,3033,6732,1154,1177,0.8072916666666666,0.5748242056933475,0.7243850011941725,0.7204275534441805,0.722400857449089
gpt_oss_120b,1,2904,6961,925,1306,0.8155588624338624,0.5848252766741635,0.7584225646382867,0.6897862232779097,0.7224779201393208
gpt_oss_120b,3,2973,6979,907,1237,0.8227513227513228,0.602162883910667,0.7662371134020619,0.7061757719714964,0.734981458590853
gpt_oss_120b,5,2991,6977,909,1219,0.8240740740740741,0.6055766606967515,0.7669230769230769,0.7104513064133017,0.7376078914919852
