source_full_name,origin
Azure/azure-rest-api-specs,2026-02-19 21:56:45+00:00
Azure/azure-sdk-for-js,2026-02-25 21:55:38+00:00
Azure/typespec-azure,2026-02-26 21:34:27+00:00
Hack23/euparliamentmonitor,2026-02-23 07:46:33+00:00
Hack23/riksdagsmonitor,2026-02-13 13:59:59+00:00
Kong/kongctl,2026-02-24 20:57:39+00:00
Z3Prover/z3,2026-01-08 18:31:23+00:00
apache/cloudstack,2026-02-17 15:11:01+00:00
dorlugasigal/TermBeam,2026-03-27 09:13:19+00:00
dotnet/aspnetcore,2026-03-13 16:15:04+00:00
dotnet/maintenance-packages,2026-03-09 16:47:44+00:00
dotnet/skills,2026-03-02 20:59:28+00:00
drasi-project/drasi-server,2026-01-15 23:14:12+00:00
elastic/ai-github-actions,2026-02-16 03:53:17+00:00
elastic/elastic-docs-skills,2026-02-23 13:56:00+00:00
elastic/terraform-provider-elasticstack,2026-03-05 00:38:50+00:00
fideus-labs/ngff-zarr,2026-02-17 21:05:33+00:00
foxminchan/BookWorm,2026-02-13 07:42:07+00:00
github/awesome-copilot,2026-02-18 23:19:17+00:00
github/copilot-sdk,2026-01-14 22:01:55+00:00
github/gh-aw,2025-09-11 14:00:17+00:00
github/gh-aw-firewall,2025-12-19 23:36:53+00:00
github/gh-aw-mcpg,2025-12-22 00:00:34+00:00
githubnext/ado-aw,2026-03-06 14:29:31+00:00
githubnext/agentics,2025-07-31 15:45:45+00:00
kubestellar/console,2026-01-27 21:19:09+00:00
kubestellar/docs,2025-12-10 01:16:31+00:00
lablup/backend.ai-webui,2026-02-04 07:07:34+00:00
microsoft/GitHub-Copilot-for-Azure,2026-02-20 23:28:32+00:00
microsoft/Microsoft-AI-Decision-Framework,2026-02-27 21:40:24+00:00
microsoft/aspire,2026-02-17 17:52:26+00:00
microsoft/vscode-black-formatter,2026-02-20 22:33:27+00:00
microsoft/vscode-flake8,2026-02-17 19:54:12+00:00
microsoft/vscode-isort,2026-02-17 21:32:22+00:00
microsoft/vscode-mypy,2026-02-17 21:37:12+00:00
microsoft/vscode-pylint,2026-02-17 21:42:37+00:00
modeled-information-format/MIF,2026-02-23 04:45:37+00:00
ohcnetwork/care_fe,2026-02-07 22:12:14+00:00
openvinotoolkit/openvino.genai,2026-02-25 14:55:17+00:00
prowler-cloud/prowler,2026-02-23 15:09:35+00:00
rancher/dashboard,2026-03-05 23:10:40+00:00
thaw-app/Thaw,2026-03-14 21:52:24+00:00
wp-media/wp-rocket,2026-02-20 17:25:33+00:00
