source_key,source_full_name,md_path,history_relative,event_count,subsequent_change_count,is_write_once,first_observed_at,last_observed_at,collected_at,observed_age_days,change_span_days,days_since_last_change,median_intercommit_days,first_followup_days,active_day_count,active_month_count,total_additions,total_deletions,total_churn,subsequent_additions,subsequent_deletions,subsequent_churn,frontmatter_only_changes,body_only_changes,both_changes,non_content_changes,unknown_location_changes,human_event_count,agent_event_count,unknown_actor_event_count,subsequent_human_event_count,subsequent_agent_event_count
Azure/azure-sdk-for-js:.github/workflows/scribe.md,Azure/azure-sdk-for-js,.github/workflows/scribe.md,Azure__azure-sdk-for-js__705da3dc5158/history.json,16,15,0,2026-03-24 18:58:58+00:00,2026-07-08T00:57:42+00:00,2026-08-04T11:24:48+00:00,132.6846064814815,105.24912037037036,27.43548611111111,2.9057060185185186,0.9528587962962964,13,5,198,15,213,69,15,84,14,0,1,0,0,14,2,0,13,2
Azure/azure-sdk-for-js:.github/workflows/sentinel.md,Azure/azure-sdk-for-js,.github/workflows/sentinel.md,Azure__azure-sdk-for-js__89a5f6470a62/history.json,16,15,0,2026-03-24 18:57:04+00:00,2026-07-08T00:57:42+00:00,2026-08-04T11:24:49+00:00,132.6859375,105.2504398148148,27.435497685185187,2.9057060185185186,0.9541782407407408,13,5,219,16,235,69,16,85,14,0,1,0,0,14,2,0,13,2
Azure/azure-sdk-for-js:.github/workflows/tester.md,Azure/azure-sdk-for-js,.github/workflows/tester.md,Azure__azure-sdk-for-js__38368e2af7ea/history.json,16,15,0,2026-03-24 19:34:07+00:00,2026-07-08T00:57:42+00:00,2026-08-04T11:24:49+00:00,132.66020833333334,105.22471064814816,27.435497685185187,2.9057060185185186,0.928449074074074,13,5,199,16,215,69,16,85,14,0,1,0,0,14,2,0,13,2
Azure/azure-sdk-for-js:.github/workflows/upgrade-agentic-workflows.md,Azure/azure-sdk-for-js,.github/workflows/upgrade-agentic-workflows.md,Azure__azure-sdk-for-js__5468e0a574cd/history.json,10,9,0,2026-06-09 16:48:01+00:00,2026-07-23T21:11:43+00:00,2026-08-04T11:24:47+00:00,55.77553240740741,44.183125,11.592407407407409,1.0216666666666667,2.151226851851852,7,2,240,192,432,30,192,222,5,2,2,0,0,9,1,0,8,1
Azure/typespec-azure:.github/workflows/doc-update.md,Azure/typespec-azure,.github/workflows/doc-update.md,Azure__typespec-azure__ae681717300d/history.json,13,12,0,2026-03-30 07:52:19+00:00,2026-07-30T00:28:13+00:00,2026-08-04T11:24:56+00:00,127.14765046296296,121.69159722222224,5.456053240740741,1.523894675925926,1.2670138888888889,12,4,239,46,285,29,46,75,4,3,5,0,0,10,2,0,9,2
Azure/typespec-azure:.github/workflows/docs-sync.md,Azure/typespec-azure,.github/workflows/docs-sync.md,Azure__typespec-azure__3a84b59ddb26/history.json,2,1,0,2026-02-26 21:34:27+00:00,2026-06-25T02:41:01+00:00,2026-08-04T11:24:50+00:00,158.5766550925926,118.21289351851853,40.36376157407408,118.21289351851853,118.21289351851853,2,2,65,0,65,1,0,1,1,0,0,0,0,1,1,0,0,1
dorlugasigal/TermBeam:.github/workflows/dependabot-autofix.md,dorlugasigal/TermBeam,.github/workflows/dependabot-autofix.md,dorlugasigal__TermBeam__627d4326e28a/history.json,8,7,0,2026-07-07 08:43:36+00:00,2026-08-03T17:24:06+00:00,2026-08-04T11:25:13+00:00,28.112233796296294,27.36145833333333,0.7507754629629629,0.0481944444444444,0.0183333333333333,4,2,405,60,465,182,60,242,3,2,2,0,0,8,0,0,7,0
dorlugasigal/TermBeam:.github/workflows/scorecard-monitor.md,dorlugasigal/TermBeam,.github/workflows/scorecard-monitor.md,dorlugasigal__TermBeam__5d7fe8c1581c/history.json,5,4,0,2026-03-27 09:13:19+00:00,2026-08-04T08:22:54+00:00,2026-08-04T11:25:11+00:00,130.09157407407406,129.96498842592592,0.1265856481481481,6.107453703703704,0.0371180555555555,3,3,75,2,77,12,2,14,2,2,0,0,0,5,0,0,4,0
dorlugasigal/TermBeam:.github/workflows/security-autofix.md,dorlugasigal/TermBeam,.github/workflows/security-autofix.md,dorlugasigal__TermBeam__27652a7980a4/history.json,6,5,0,2026-07-22 20:45:09+00:00,2026-08-03T17:24:06+00:00,2026-08-04T11:25:11+00:00,12.61113425925926,11.860381944444445,0.7507523148148149,0.0320486111111111,0.0015625,3,2,283,13,296,40,13,53,3,2,0,0,0,6,0,0,5,0
dotnet/aspnetcore:.github/workflows/browsertesting-deps-update.md,dotnet/aspnetcore,.github/workflows/browsertesting-deps-update.md,dotnet__aspnetcore__eb6715ad3527/history.json,4,3,0,2026-04-07 20:29:33+00:00,2026-07-20T12:02:22+00:00,2026-08-04T11:25:13+00:00,118.62199074074074,103.64778935185186,14.974201388888888,12.685717592592592,82.81815972222222,4,3,136,14,150,37,14,51,3,0,0,0,0,4,0,0,3,0
dotnet/aspnetcore:.github/workflows/community-pr-issue-check.md,dotnet/aspnetcore,.github/workflows/community-pr-issue-check.md,dotnet__aspnetcore__39b592512f4a/history.json,4,3,0,2026-04-09 20:26:07+00:00,2026-07-20T12:02:22+00:00,2026-08-04T11:25:13+00:00,116.624375,101.65017361111111,14.974201388888888,12.685717592592592,80.82054398148148,4,3,113,14,127,37,14,51,3,0,0,0,0,3,1,0,3,0
dotnet/aspnetcore:.github/workflows/cswin32-update.md,dotnet/aspnetcore,.github/workflows/cswin32-update.md,dotnet__aspnetcore__7a3e06f577e4/history.json,7,6,0,2026-04-07 20:30:07+00:00,2026-07-20T12:02:22+00:00,2026-08-04T11:25:14+00:00,118.6216087962963,103.64739583333332,14.974212962962962,10.414814814814816,0.7572106481481482,7,4,400,26,426,69,26,95,4,1,1,0,0,7,0,0,6,0
dotnet/aspnetcore:.github/workflows/issue-triage-agent.md,dotnet/aspnetcore,.github/workflows/issue-triage-agent.md,dotnet__aspnetcore__c08c3fad1ec0/history.json,13,12,0,2026-03-13 16:15:04+00:00,2026-07-23T17:44:36+00:00,2026-08-04T11:25:16+00:00,143.79875,132.0621759259259,11.736574074074074,7.478373842592592,2.975,13,5,645,64,709,260,64,324,6,3,3,0,0,13,0,0,12,0
dotnet/aspnetcore:.github/workflows/test-quarantine.md,dotnet/aspnetcore,.github/workflows/test-quarantine.md,dotnet__aspnetcore__ec063561e69f/history.json,48,47,0,2026-03-18 21:07:21+00:00,2026-07-29T16:36:09+00:00,2026-08-04T11:25:30+00:00,138.5959375,132.81166666666667,5.784270833333333,1.735798611111111,0.0075694444444444,37,5,2230,570,2800,1922,570,2492,11,23,13,0,0,48,0,0,47,0
