category,tp,tn,fp,fn,agreement,kappa,precision,recall,f1
TASK,261,3,13,11,0.9166666666666666,0.15624999999999958,0.9525547445255474,0.9595588235294118,0.9560439560439561
CONSTRAINT,248,17,14,9,0.9201388888888888,0.5525533639556874,0.9465648854961832,0.9649805447470817,0.9556840077071291
CONTEXT,202,32,10,44,0.8125,0.4365217391304348,0.9528301886792453,0.8211382113821138,0.8820960698689956
OUTPUT,251,12,8,17,0.9131944444444444,0.4441012970969734,0.9691119691119691,0.9365671641791045,0.952561669829222
PROCESS,248,19,15,6,0.9270833333333334,0.6044990844886216,0.9429657794676806,0.9763779527559056,0.9593810444874274
EVALUATION,111,79,23,75,0.6597222222222222,0.3329551900170164,0.8283582089552238,0.5967741935483871,0.69375
RESOURCE,212,23,17,36,0.8159722222222222,0.3584398117014122,0.925764192139738,0.8548387096774194,0.8888888888888888
COMMUNICATION,159,84,14,31,0.84375,0.6660138130089682,0.9190751445086706,0.8368421052631579,0.8760330578512396
EXAMPLE,178,71,21,18,0.8645833333333334,0.6858357574401432,0.8944723618090452,0.9081632653061225,0.9012658227848102
SAFETY,35,212,11,30,0.8576388888888888,0.5456364475911958,0.7608695652173914,0.5384615384615384,0.6306306306306306
