group,metric,min,mean,median,max
Size and structure,Body lines,2.0,144.30528846153845,104.0,1661.0
Size and structure,Frontmatter lines,6.0,87.02884615384616,58.0,1237.0
Size and structure,Code block lines,0.0,30.772435897435898,5.5,603.0
Heading levels,H1,0.0,0.9479166666666666,1.0,19.0
Heading levels,H2,0.0,4.793269230769231,4.0,22.0
Heading levels,H3,0.0,4.040865384615385,3.0,44.0
Heading levels,H4,0.0,0.5400641025641025,0.0,36.0
Heading levels,H5,0.0,0.005608974358974359,0.0,3.0
Prose and readability,Body words,1.0,710.4302884615385,556.5,10551.0
Prose and readability,Sentences,5.0,65.57562662057045,51.0,599.0
Prose and readability,Syllables,141.0,1219.780466724287,925.0,15026.0
Prose and readability,Pictographic symbols,0.0,4.403044871794871,0.0,171.0
Prose and readability,Flesch Reading Ease,4.166242199488522,54.44642606812387,55.146039985326496,82.55681818181822
