source_key,source_full_name,md_path,history_relative,snapshot_relative,commit_sha,committed_at,language,language_probability,body_word_count,readability_word_count,exclusion_reason
7474/SRC:.github/workflows/complete-unit-tests.md,7474/SRC,.github/workflows/complete-unit-tests.md,7474__SRC__11ac0806daef/history.json,7474__SRC__11ac0806daef/snapshots/SRC__7474__ad4e4575c10bc099b8d333f2781e84a54f9ed05c__complete-unit-tests.md,ad4e4575c10bc099b8d333f2781e84a54f9ed05c,2026-05-04T10:38:17Z,ja,0.999999660781309,748,697,clear_non_english_body
dotnet/arcade:.github/workflows/build-failure-analysis-command.md,dotnet/arcade,.github/workflows/build-failure-analysis-command.md,dotnet__arcade__078e893c3e06/history.json,dotnet__arcade__078e893c3e06/snapshots/arcade__dotnet__3a08066a733385d6ffcea36ff19b6230f3e044f6__build-failure-analysis-command.md,3a08066a733385d6ffcea36ff19b6230f3e044f6,2026-07-31T16:08:43Z,insufficient,0.0,0,0,no_body_text
dotnet/arcade:.github/workflows/build-failure-analysis.md,dotnet/arcade,.github/workflows/build-failure-analysis.md,dotnet__arcade__7cae819f622c/history.json,dotnet__arcade__7cae819f622c/snapshots/arcade__dotnet__81f112775a6546851b473ae9003c34af7843a9e5__build-failure-analysis.md,81f112775a6546851b473ae9003c34af7843a9e5,2026-07-21T14:11:53Z,insufficient,0.0,0,0,no_body_text
dotnet/maui-labs:.github/workflows/review-on-open.agent.md,dotnet/maui-labs,.github/workflows/review-on-open.agent.md,dotnet__maui-labs__53b85388a186/history.json,dotnet__maui-labs__53b85388a186/snapshots/maui-labs__dotnet__d21bfd5e309852134ef357db02e977d9b2ad4432__review-on-open.agent.md,d21bfd5e309852134ef357db02e977d9b2ad4432,2026-07-24T16:42:36Z,insufficient,0.0,0,0,no_body_text
dotnet/maui-labs:.github/workflows/review.agent.md,dotnet/maui-labs,.github/workflows/review.agent.md,dotnet__maui-labs__f0dafba602e4/history.json,dotnet__maui-labs__f0dafba602e4/snapshots/maui-labs__dotnet__d21bfd5e309852134ef357db02e977d9b2ad4432__review.agent.md,d21bfd5e309852134ef357db02e977d9b2ad4432,2026-07-24T16:42:36Z,insufficient,0.0,0,0,no_body_text
dotnet/msbuild:.github/workflows/review-on-open.agent.md,dotnet/msbuild,.github/workflows/review-on-open.agent.md,dotnet__msbuild__17a71c682286/history.json,dotnet__msbuild__17a71c682286/snapshots/msbuild__dotnet__bd01c1d31c552b1a6d1499fa676a2f0446f5073d__review-on-open.agent.md,bd01c1d31c552b1a6d1499fa676a2f0446f5073d,2026-07-15T10:50:58Z,insufficient,0.0,0,0,no_body_text
dotnet/msbuild:.github/workflows/review.agent.md,dotnet/msbuild,.github/workflows/review.agent.md,dotnet__msbuild__b6674a1b2a53/history.json,dotnet__msbuild__b6674a1b2a53/snapshots/msbuild__dotnet__bd01c1d31c552b1a6d1499fa676a2f0446f5073d__review.agent.md,bd01c1d31c552b1a6d1499fa676a2f0446f5073d,2026-07-15T10:50:58Z,insufficient,0.0,0,0,no_body_text
dotnet/sdk:.github/workflows/parallel-safety-audit-command.md,dotnet/sdk,.github/workflows/parallel-safety-audit-command.md,dotnet__sdk__ac8101485db8/history.json,dotnet__sdk__ac8101485db8/snapshots/sdk__dotnet__5bcbf42adb148f15c798bad2c13881f725706ad7__parallel-safety-audit-command.md,5bcbf42adb148f15c798bad2c13881f725706ad7,2026-07-30T11:52:43Z,insufficient,0.0,0,0,no_body_text
felipementel/GitHubCopilotDevDays-Curitiba-2026:.github/workflows/hn-sentiment.md,felipementel/GitHubCopilotDevDays-Curitiba-2026,.github/workflows/hn-sentiment.md,felipementel__GitHubCopilotDevDays-Curitiba-2026__c2043938995a/history.json,felipementel__GitHubCopilotDevDays-Curitiba-2026__c2043938995a/snapshots/GitHubCopilotDevDays-Curitiba-2026__felipementel__6dab8decda7d31cf555c0e0a09f3a1d136cd4c74__hn-sentiment.md,6dab8decda7d31cf555c0e0a09f3a1d136cd4c74,2026-05-09T20:07:39Z,pt,0.9999964587754151,184,182,clear_non_english_body
felipementel/GitHubCopilotDevDays-Curitiba-2026:.github/workflows/issue-open.md,felipementel/GitHubCopilotDevDays-Curitiba-2026,.github/workflows/issue-open.md,felipementel__GitHubCopilotDevDays-Curitiba-2026__2b9a3fbb5b04/history.json,felipementel__GitHubCopilotDevDays-Curitiba-2026__2b9a3fbb5b04/snapshots/GitHubCopilotDevDays-Curitiba-2026__felipementel__6dab8decda7d31cf555c0e0a09f3a1d136cd4c74__issue-open.md,6dab8decda7d31cf555c0e0a09f3a1d136cd4c74,2026-05-09T20:07:39Z,pt,0.9999964862291773,72,69,clear_non_english_body
felipementel/GitHubCopilotDevDays-Curitiba-2026:.github/workflows/pull-request-opened.md,felipementel/GitHubCopilotDevDays-Curitiba-2026,.github/workflows/pull-request-opened.md,felipementel__GitHubCopilotDevDays-Curitiba-2026__a7d2d66ea8f3/history.json,felipementel__GitHubCopilotDevDays-Curitiba-2026__a7d2d66ea8f3/snapshots/GitHubCopilotDevDays-Curitiba-2026__felipementel__57d641a452cf68bb1951b1c398ebff910c3f1254__pull-request-opened.md,57d641a452cf68bb1951b1c398ebff910c3f1254,2026-05-09T19:50:40Z,pt,0.9999951007013004,262,260,clear_non_english_body
githubnext/agentics:workflows/daily-accessibility-review.md,githubnext/agentics,workflows/daily-accessibility-review.md,githubnext__agentics__561e233e0d10/history.json,githubnext__agentics__561e233e0d10/snapshots/agentics__githubnext__497230d3867fe453aae74b15d06178d45a39fcce__daily-accessibility-review.md,497230d3867fe453aae74b15d06178d45a39fcce,2026-05-08T20:56:58Z,insufficient,0.0,0,0,no_body_text
githubnext/agentics:workflows/daily-doc-updater.md,githubnext/agentics,workflows/daily-doc-updater.md,githubnext__agentics__504da33c3be5/history.json,githubnext__agentics__504da33c3be5/snapshots/agentics__githubnext__497230d3867fe453aae74b15d06178d45a39fcce__daily-doc-updater.md,497230d3867fe453aae74b15d06178d45a39fcce,2026-05-08T20:56:58Z,insufficient,0.0,0,0,no_body_text
githubnext/agentics:workflows/daily-perf-improver.md,githubnext/agentics,workflows/daily-perf-improver.md,githubnext__agentics__89d0f1a7b484/history.json,githubnext__agentics__89d0f1a7b484/snapshots/agentics__githubnext__497230d3867fe453aae74b15d06178d45a39fcce__daily-perf-improver.md,497230d3867fe453aae74b15d06178d45a39fcce,2026-05-08T20:56:58Z,insufficient,0.0,0,0,no_body_text
githubnext/agentics:workflows/daily-plan.md,githubnext/agentics,workflows/daily-plan.md,githubnext__agentics__869135dbd68a/history.json,githubnext__agentics__869135dbd68a/snapshots/agentics__githubnext__497230d3867fe453aae74b15d06178d45a39fcce__daily-plan.md,497230d3867fe453aae74b15d06178d45a39fcce,2026-05-08T20:56:58Z,insufficient,0.0,0,0,no_body_text
githubnext/agentics:workflows/daily-qa.md,githubnext/agentics,workflows/daily-qa.md,githubnext__agentics__a8bcc92cc82c/history.json,githubnext__agentics__a8bcc92cc82c/snapshots/agentics__githubnext__497230d3867fe453aae74b15d06178d45a39fcce__daily-qa.md,497230d3867fe453aae74b15d06178d45a39fcce,2026-05-08T20:56:58Z,insufficient,0.0,0,0,no_body_text
githubnext/agentics:workflows/daily-repo-status.md,githubnext/agentics,workflows/daily-repo-status.md,githubnext__agentics__ae0dfe93f523/history.json,githubnext__agentics__ae0dfe93f523/snapshots/agentics__githubnext__497230d3867fe453aae74b15d06178d45a39fcce__daily-repo-status.md,497230d3867fe453aae74b15d06178d45a39fcce,2026-05-08T20:56:58Z,insufficient,0.0,0,0,no_body_text
githubnext/agentics:workflows/daily-test-improver.md,githubnext/agentics,workflows/daily-test-improver.md,githubnext__agentics__c3e088409265/history.json,githubnext__agentics__c3e088409265/snapshots/agentics__githubnext__497230d3867fe453aae74b15d06178d45a39fcce__daily-test-improver.md,497230d3867fe453aae74b15d06178d45a39fcce,2026-05-08T20:56:58Z,insufficient,0.0,0,0,no_body_text
haxudev/GCR-AI-Tour-2026:.github/workflows/tech-insight.md,haxudev/GCR-AI-Tour-2026,.github/workflows/tech-insight.md,haxudev__GCR-AI-Tour-2026__9bf82cffef6f/history.json,haxudev__GCR-AI-Tour-2026__9bf82cffef6f/snapshots/GCR-AI-Tour-2026__haxudev__14dd7178ff1e5979daa2323aee641c73c558bba9__tech-insight.md,14dd7178ff1e5979daa2323aee641c73c558bba9,2026-06-11T01:58:42Z,zh-cn,0.9999943737766228,149,179,clear_non_english_body
libxengine/XEngine_Authorize:.github/workflows/auto-code.md,libxengine/XEngine_Authorize,.github/workflows/auto-code.md,libxengine__XEngine_Authorize__5507c9483463/history.json,libxengine__XEngine_Authorize__5507c9483463/snapshots/XEngine_Authorize__libxengine__7dc2e98e256ce500be8ebc908e7c42c57a533616__auto-code.md,7dc2e98e256ce500be8ebc908e7c42c57a533616,2026-06-24T07:20:29Z,zh-cn,0.9999967189622055,164,166,clear_non_english_body
libxengine/XEngine_Authorize:.github/workflows/issue-triage.md,libxengine/XEngine_Authorize,.github/workflows/issue-triage.md,libxengine__XEngine_Authorize__910d2c7ca0ec/history.json,libxengine__XEngine_Authorize__910d2c7ca0ec/snapshots/XEngine_Authorize__libxengine__00185b65891ca5c2f20606832389c703b32eeb5b__issue-triage.md,00185b65891ca5c2f20606832389c703b32eeb5b,2026-06-24T02:09:02Z,zh-cn,0.9999973110855952,40,44,clear_non_english_body
microsoft/testfx:.github/workflows/address-review.agent.md,microsoft/testfx,.github/workflows/address-review.agent.md,microsoft__testfx__1faa1df05df2/history.json,microsoft__testfx__1faa1df05df2/snapshots/testfx__microsoft__9f4e6c68f9dc3e757c161409d75b115f5b63ee5f__address-review.agent.md,9f4e6c68f9dc3e757c161409d75b115f5b63ee5f,2026-07-07T11:17:29Z,insufficient,0.0,0,0,no_body_text
