source_key,source_full_name,md_path,history_relative,snapshot_relative,commit_sha,committed_at,language,language_probability,body_word_count,readability_word_count,exclusion_reason
microsoft/testfx:.github/workflows/autofix.agent.md,microsoft/testfx,.github/workflows/autofix.agent.md,microsoft__testfx__fd124f9f9742/history.json,microsoft__testfx__fd124f9f9742/snapshots/testfx__microsoft__9f4e6c68f9dc3e757c161409d75b115f5b63ee5f__autofix.agent.md,9f4e6c68f9dc3e757c161409d75b115f5b63ee5f,2026-07-07T11:17:29Z,insufficient,0.0,0,0,no_body_text
microsoft/testfx:.github/workflows/build-failure-analysis-command.md,microsoft/testfx,.github/workflows/build-failure-analysis-command.md,microsoft__testfx__6ba863ffa571/history.json,microsoft__testfx__6ba863ffa571/snapshots/testfx__microsoft__5f38d9ab4e2dc583c577aa8ff8edd2bd93ce75a7__build-failure-analysis-command.md,5f38d9ab4e2dc583c577aa8ff8edd2bd93ce75a7,2026-08-03T17:33:36Z,insufficient,0.0,0,0,no_body_text
microsoft/testfx:.github/workflows/build-failure-analysis.md,microsoft/testfx,.github/workflows/build-failure-analysis.md,microsoft__testfx__4581f2370e7d/history.json,microsoft__testfx__4581f2370e7d/snapshots/testfx__microsoft__5f38d9ab4e2dc583c577aa8ff8edd2bd93ce75a7__build-failure-analysis.md,5f38d9ab4e2dc583c577aa8ff8edd2bd93ce75a7,2026-08-03T17:33:36Z,insufficient,0.0,0,0,no_body_text
microsoft/testfx:.github/workflows/grade-tests-on-pr.agent.md,microsoft/testfx,.github/workflows/grade-tests-on-pr.agent.md,microsoft__testfx__1557e1557ec0/history.json,microsoft__testfx__1557e1557ec0/snapshots/testfx__microsoft__9dc529870c0cd7a3c0d0a3520baf707c9d06c820__grade-tests-on-pr.agent.md,9dc529870c0cd7a3c0d0a3520baf707c9d06c820,2026-07-28T12:55:26Z,insufficient,0.0,0,0,no_body_text
microsoft/testfx:.github/workflows/grade-tests.agent.md,microsoft/testfx,.github/workflows/grade-tests.agent.md,microsoft__testfx__f1f600696f4d/history.json,microsoft__testfx__f1f600696f4d/snapshots/testfx__microsoft__9dc529870c0cd7a3c0d0a3520baf707c9d06c820__grade-tests.agent.md,9dc529870c0cd7a3c0d0a3520baf707c9d06c820,2026-07-28T12:55:26Z,insufficient,0.0,0,0,no_body_text
microsoft/testfx:.github/workflows/msbuild-quality-review.md,microsoft/testfx,.github/workflows/msbuild-quality-review.md,microsoft__testfx__8d0b3d641462/history.json,microsoft__testfx__8d0b3d641462/snapshots/testfx__microsoft__939f78254ce3d91221792d7a9bd29647214b6733__msbuild-quality-review.md,939f78254ce3d91221792d7a9bd29647214b6733,2026-07-03T11:53:54Z,insufficient,0.0,0,0,no_body_text
microsoft/testfx:.github/workflows/parallel-safety-audit-command.md,microsoft/testfx,.github/workflows/parallel-safety-audit-command.md,microsoft__testfx__715464c68729/history.json,microsoft__testfx__715464c68729/snapshots/testfx__microsoft__7c5348a4d69e6d5cf5f39aec0382d27197b86a2d__parallel-safety-audit-command.md,7c5348a4d69e6d5cf5f39aec0382d27197b86a2d,2026-07-27T15:58:13Z,insufficient,0.0,0,0,no_body_text
microsoft/testfx:.github/workflows/parallel-safety-audit.md,microsoft/testfx,.github/workflows/parallel-safety-audit.md,microsoft__testfx__fc5da6f5a99c/history.json,microsoft__testfx__fc5da6f5a99c/snapshots/testfx__microsoft__7c5348a4d69e6d5cf5f39aec0382d27197b86a2d__parallel-safety-audit.md,7c5348a4d69e6d5cf5f39aec0382d27197b86a2d,2026-07-27T15:58:13Z,insufficient,0.0,0,0,no_body_text
microsoft/testfx:.github/workflows/review-after-autofix.agent.md,microsoft/testfx,.github/workflows/review-after-autofix.agent.md,microsoft__testfx__74b11b474cd4/history.json,microsoft__testfx__74b11b474cd4/snapshots/testfx__microsoft__939f78254ce3d91221792d7a9bd29647214b6733__review-after-autofix.agent.md,939f78254ce3d91221792d7a9bd29647214b6733,2026-07-03T11:53:54Z,insufficient,0.0,0,0,no_body_text
microsoft/testfx:.github/workflows/review-on-open.agent.md,microsoft/testfx,.github/workflows/review-on-open.agent.md,microsoft__testfx__c21fba02001f/history.json,microsoft__testfx__c21fba02001f/snapshots/testfx__microsoft__939f78254ce3d91221792d7a9bd29647214b6733__review-on-open.agent.md,939f78254ce3d91221792d7a9bd29647214b6733,2026-07-03T11:53:54Z,insufficient,0.0,0,0,no_body_text
microsoft/testfx:.github/workflows/review.agent.md,microsoft/testfx,.github/workflows/review.agent.md,microsoft__testfx__dfecf4d7f84f/history.json,microsoft__testfx__dfecf4d7f84f/snapshots/testfx__microsoft__939f78254ce3d91221792d7a9bd29647214b6733__review.agent.md,939f78254ce3d91221792d7a9bd29647214b6733,2026-07-03T11:53:54Z,insufficient,0.0,0,0,no_body_text
microsoft/vstest:.github/workflows/build-failure-analysis-command.md,microsoft/vstest,.github/workflows/build-failure-analysis-command.md,microsoft__vstest__e4f4dd234f69/history.json,microsoft__vstest__e4f4dd234f69/snapshots/vstest__microsoft__77c3673ef28372023e5602802748ab727408a33f__build-failure-analysis-command.md,77c3673ef28372023e5602802748ab727408a33f,2026-07-07T12:25:41Z,insufficient,0.0,0,0,no_body_text
microsoft/vstest:.github/workflows/build-failure-analysis.md,microsoft/vstest,.github/workflows/build-failure-analysis.md,microsoft__vstest__6edb69b0a1cb/history.json,microsoft__vstest__6edb69b0a1cb/snapshots/vstest__microsoft__77c3673ef28372023e5602802748ab727408a33f__build-failure-analysis.md,77c3673ef28372023e5602802748ab727408a33f,2026-07-07T12:25:41Z,insufficient,0.0,0,0,no_body_text
microsoft/vstest:.github/workflows/msbuild-quality-review.md,microsoft/vstest,.github/workflows/msbuild-quality-review.md,microsoft__vstest__3ebf9d387b2c/history.json,microsoft__vstest__3ebf9d387b2c/snapshots/vstest__microsoft__77c3673ef28372023e5602802748ab727408a33f__msbuild-quality-review.md,77c3673ef28372023e5602802748ab727408a33f,2026-07-07T12:25:41Z,insufficient,0.0,0,0,no_body_text
runhey/OnmyojiAutoScript:.github/workflows/issue-handle-bug.md,runhey/OnmyojiAutoScript,.github/workflows/issue-handle-bug.md,runhey__OnmyojiAutoScript__7da51ab01bff/history.json,runhey__OnmyojiAutoScript__7da51ab01bff/snapshots/OnmyojiAutoScript__runhey__dcbfb1f3a716a2b6fec5ef3cc2805032989da8d4__issue-handle-bug.md,dcbfb1f3a716a2b6fec5ef3cc2805032989da8d4,2026-05-13T16:37:01Z,zh-cn,0.9999976953482266,574,428,clear_non_english_body
runhey/OnmyojiAutoScript:.github/workflows/issue-handle-enhancement.md,runhey/OnmyojiAutoScript,.github/workflows/issue-handle-enhancement.md,runhey__OnmyojiAutoScript__69be4c070148/history.json,runhey__OnmyojiAutoScript__69be4c070148/snapshots/OnmyojiAutoScript__runhey__dcbfb1f3a716a2b6fec5ef3cc2805032989da8d4__issue-handle-enhancement.md,dcbfb1f3a716a2b6fec5ef3cc2805032989da8d4,2026-05-13T16:37:01Z,zh-cn,0.8571407129720667,327,294,clear_non_english_body
runhey/OnmyojiAutoScript:.github/workflows/issue-handle-other.md,runhey/OnmyojiAutoScript,.github/workflows/issue-handle-other.md,runhey__OnmyojiAutoScript__a9b8d64f48e9/history.json,runhey__OnmyojiAutoScript__a9b8d64f48e9/snapshots/OnmyojiAutoScript__runhey__dcbfb1f3a716a2b6fec5ef3cc2805032989da8d4__issue-handle-other.md,dcbfb1f3a716a2b6fec5ef3cc2805032989da8d4,2026-05-13T16:37:01Z,zh-cn,0.9999985420254887,268,247,clear_non_english_body
runhey/OnmyojiAutoScript:.github/workflows/issue-handle-question.md,runhey/OnmyojiAutoScript,.github/workflows/issue-handle-question.md,runhey__OnmyojiAutoScript__b52642914767/history.json,runhey__OnmyojiAutoScript__b52642914767/snapshots/OnmyojiAutoScript__runhey__dcbfb1f3a716a2b6fec5ef3cc2805032989da8d4__issue-handle-question.md,dcbfb1f3a716a2b6fec5ef3cc2805032989da8d4,2026-05-13T16:37:01Z,zh-cn,0.9999979025027561,231,203,clear_non_english_body
runhey/OnmyojiAutoScript:.github/workflows/issue-triage.md,runhey/OnmyojiAutoScript,.github/workflows/issue-triage.md,runhey__OnmyojiAutoScript__d931c642e35a/history.json,runhey__OnmyojiAutoScript__d931c642e35a/snapshots/OnmyojiAutoScript__runhey__e93dad1250f9440353b598644f0a57b6a9ea194d__issue-triage.md,e93dad1250f9440353b598644f0a57b6a9ea194d,2026-04-29T16:18:15Z,ca,0.9999950228394175,211,174,clear_non_english_body
runhey/OnmyojiAutoScript:.github/workflows/pr-review-checklist.md,runhey/OnmyojiAutoScript,.github/workflows/pr-review-checklist.md,runhey__OnmyojiAutoScript__996e2d876551/history.json,runhey__OnmyojiAutoScript__996e2d876551/snapshots/OnmyojiAutoScript__runhey__1649f11c767d81ea8a1ef71bb3190d727c1daeb9__pr-review-checklist.md,1649f11c767d81ea8a1ef71bb3190d727c1daeb9,2026-05-04T13:25:36Z,zh-cn,0.8571410298543481,257,296,clear_non_english_body
runhey/OnmyojiAutoScript:.github/workflows/pr-review-intent.md,runhey/OnmyojiAutoScript,.github/workflows/pr-review-intent.md,runhey__OnmyojiAutoScript__48be1dbef7fa/history.json,runhey__OnmyojiAutoScript__48be1dbef7fa/snapshots/OnmyojiAutoScript__runhey__1649f11c767d81ea8a1ef71bb3190d727c1daeb9__pr-review-intent.md,1649f11c767d81ea8a1ef71bb3190d727c1daeb9,2026-05-04T13:25:36Z,zh-cn,0.9999993938809207,256,256,clear_non_english_body
runhey/OnmyojiAutoScript:.github/workflows/weekly-report.md,runhey/OnmyojiAutoScript,.github/workflows/weekly-report.md,runhey__OnmyojiAutoScript__f09e80e35390/history.json,runhey__OnmyojiAutoScript__f09e80e35390/snapshots/OnmyojiAutoScript__runhey__d98f6af609acb7bee382934938c0038ba204f1a0__weekly-report.md,d98f6af609acb7bee382934938c0038ba204f1a0,2026-06-11T02:16:24Z,zh-cn,0.9999969515502803,173,155,clear_non_english_body
shyamagu-ms/ai-scrum:.github/workflows/scrum-events-worker-day.md,shyamagu-ms/ai-scrum,.github/workflows/scrum-events-worker-day.md,shyamagu-ms__ai-scrum__e2c53b3ec1f5/history.json,shyamagu-ms__ai-scrum__e2c53b3ec1f5/snapshots/ai-scrum__shyamagu-ms__184facd7d741cb9afe2a7761d9272c3777497d5f__scrum-events-worker-day.md,184facd7d741cb9afe2a7761d9272c3777497d5f,2026-04-08T23:46:53Z,ja,0.9999999954161892,56,68,clear_non_english_body
shyamagu-ms/ai-scrum:.github/workflows/scrum-events-worker-planning.md,shyamagu-ms/ai-scrum,.github/workflows/scrum-events-worker-planning.md,shyamagu-ms__ai-scrum__d83e68d2cb9d/history.json,shyamagu-ms__ai-scrum__d83e68d2cb9d/snapshots/ai-scrum__shyamagu-ms__184facd7d741cb9afe2a7761d9272c3777497d5f__scrum-events-worker-planning.md,184facd7d741cb9afe2a7761d9272c3777497d5f,2026-04-08T23:46:53Z,ja,0.9999999895546631,49,62,clear_non_english_body
shyamagu-ms/ai-scrum:.github/workflows/scrum-events-worker-review.md,shyamagu-ms/ai-scrum,.github/workflows/scrum-events-worker-review.md,shyamagu-ms__ai-scrum__386904e6807d/history.json,shyamagu-ms__ai-scrum__386904e6807d/snapshots/ai-scrum__shyamagu-ms__184facd7d741cb9afe2a7761d9272c3777497d5f__scrum-events-worker-review.md,184facd7d741cb9afe2a7761d9272c3777497d5f,2026-04-08T23:46:53Z,ja,0.9999994683892046,47,60,clear_non_english_body
