source_full_name,markdown_file_count
github/gh-aw,270
github/gh-aw-firewall,64
elastic/ai-github-actions,60
github/gh-aw-mcpg,35
githubnext/agentics,27
githubnext/ado-aw,26
chrizbo/agentics-beyond-code,24
githubnext/gh-aw-workshop,22
microsoft/testfx,18
rysweet/amplihack,17
Z3Prover/z3,17
Hack23/euparliamentmonitor,15
Hack23/riksdagsmonitor,14
dotnet/maui,13
elastic/terraform-provider-elasticstack,13
Azure/azure-sdk-for-js,12
carlkidcrypto/ezsnmp,11
microsoft/vstest,11
neurodesk/neurodesktop,11
pydantic/pydantic-ai,11
tosin2013/mcp-adr-analysis-server,11
github/copilot-sdk,10
shyamagu-ms/ai-scrum,10
drasi-project/drasi-core,9
github/gh-aw-threat-detection,8
microsoft/aspire,8
adoptium/adoptium,7
aztfmod/terraform-provider-azurecaf,7
dotnet/fsharp,7
dotnet/skills,7
drasi-project/drasi-platform,7
drasi-project/drasi-server,7
elastic/kibana,7
github/awesome-copilot,7
microsoft/wassette,7
rancher/dashboard,7
dotnet/aspnetcore,6
dotnet/runtime,6
github/spec-kit,6
githubnext/agentic-ops,6
microsoft/hve-core,6
SSWConsulting/SSW.Rules.Content,6
drhelius/Gearboy,5
drhelius/Gearcoleco,5
drhelius/Geargrafx,5
drhelius/Gearlynx,5
drhelius/Gearsystem,5
microsoft/apm,5
mono/SkiaSharp,5
adoptium/adoptium.net,4
Azure/apiops-cli,4
Azure/azure-sdk-for-net,4
benbalter/wordpress-static-site-exporter,4
Bertverbeek4PS/bc2adls,4
carlkidcrypto/purpleair_data_logger,4
dotnet/msbuild,4
ethereum/ethereum-org-website,4
Kong/kongctl,4
MaggieAppleton/maggieappleton.com-V3,4
microsoft/agent-framework-go,4
opsmill/infrahub,4
plengauer/Thoth,4
zwave-js/bot-workflows,4
Azure/azure-sdk-for-python,3
dorlugasigal/TermBeam,3
dotnet/macios,3
foxminchan/BookWorm,3
github/copilot-cli-for-beginners,3
lablup/backend.ai-webui,3
microsoft/agentrc,3
microsoft/security-devops-action,3
microsoft/vscode-black-formatter,3
microsoft/vscode-flake8,3
microsoft/vscode-isort,3
microsoft/vscode-mypy,3
microsoft/vscode-pylint,3
neverinfamous/db-mcp,3
neverinfamous/memory-journal-mcp,3
ohcnetwork/care_fe,3
shopware/shopware,3
srinitude/pi-until-done,3
YousefHadder/markdown-plus.nvim,3
advanced-security/advanced-security-material,2
ahmadabdalla/azure-cost-calculator,2
Azure-Samples/Legacy-Modernization-Agents,2
Azure/azure-dev,2
Azure/azure-rest-api-specs,2
Azure/azure-sdk-for-go,2
Azure/LogicAppsUX,2
Azure/typespec-azure,2
cli/cli,2
cncf/contribute-site,2
Dedac/Beam,2
dotnet/android,2
dotnet/core,2
dotnet/maui-labs,2
dotnet/sdk,2
duckduckgo/Android,2
elastic/elastic-docs-skills,2
elastic/elasticsearch-specification,2
EvergineTeam/ImGui.Net,2
EvergineTeam/Meshoptimizer.NET,2
EvergineTeam/OpenGL.NET,2
EvergineTeam/RenderDoc.NET,2
EvergineTeam/Vulkan.NET,2
fedixyz/fedi,2
getindata/kedro-vertexai,2
github-dev-club/GitHub-copilot-dev-days-canada,2
htekdev/vidpipe,2
iamnbutler/sol-ui,2
intent-integrity-chain/kit,2
jamesmontemagno/ohmyposh-configurator,2
JKamsker/JKToolKit.CodexSDK,2
jurre/huebar,2
kubestellar/console,2
kubestellar/docs,2
KunalSin9h/meltcd,2
microsoft/gctoolkit,2
microsoft/mcp,2
microsoft/mxc,2
microsoft/pxt-arcade,2
microsoft/winget-cli,2
neverinfamous/postgres-mcp,2
NikiforovAll/claude-code-rules,2
open-telemetry/opentelemetry-java-instrumentation,2
OpenMS/OpenMS,2
openvinotoolkit/openvino,2
OtterMind/Chat2DB,2
pockebot/openpocket,2
prasadhonrao/ghcp-cli-cheatsheet,2
pulumi-labs/gh-aw-internal,2
pulumi/pulumi-kubernetes-operator,2
pydantic/genai-prices,2
SocketDev/socket-cli,2
tesslio/good-oss-citizen,2
adoptium/adoptium-support,1
adoptium/api.adoptium.net,1
adoptium/containers,1
advanced-security/generate-sbom-action,1
agoncal/agoncal-application-vintagestore,1
Alfresco/alfresco-build-tools,1
Alfresco/alfresco-helm-charts,1
apache/cloudstack,1
apolloconfig/apollo,1
asizikov-demos/copilot-user-level-statistics-viewer,1
astronomer/dag-factory,1
Azure/AppConfiguration,1
Azure/AppConfiguration-KubernetesProvider,1
Azure/Azure-Landing-Zones,1
Azure/azure-sdk-for-java,1
Azure/azure-sdk-for-rust,1
Azure/git-ape,1
BMayhew/awesome-sites-to-test-on,1
bob-collective/bob,1
brunoborges/fx2048,1
brunoborges/jairosvg,1
camunda/camunda,1
canonical/canonical.com,1
canonical/paas-charm,1
canonical/ubuntu.com,1
chrisreddington/flight-school,1
clash-verge-rev/clash-verge-rev,1
CliMA/ClimaAtmos.jl,1
clouisle/Clouisle,1
colindembovsky/cols-agent-tasks,1
CommunityToolkit/Aspire,1
CycloneClub/Everglow,1
DanWahlin/github-azure-agentic-journeys,1
desktop/desktop,1
DevExpGbb/gh-devlake,1
dgreif/ring,1
dimagi/commcare-android,1
dotnet/arcade,1
dotnet/docs-maui,1
dotnet/extensions,1
dotnet/maintenance-packages,1
dotnet/source-build,1
dotnet/SqlClient,1
dotnet/xharness,1
drehelis/gcp-emulator-ui,1
elastic/cloud-on-k8s,1
elastic/opentelemetry-collector-components,1
EvergineTeam/OpenXR.NET,1
executeautomation/ExecuteAutomationWebApp,1
f/prompts.chat,1
f/wvw.dev,1
fable-compiler/Fable.Python,1
FalkorDB/FalkorDB,1
fideus-labs/ngff-zarr,1
fqfqgo/clash-verge-rev,1
frankbria/ralph-claude-code,1
github-samples/copilot-workshops,1
github/gh-aw-actions,1
githubnext/autoloop,1
globalbao/awesome-azure-policy,1
guitarrapc/githubactions-lab,1
GuyKh/iec-custom-component,1
harvester/harvester,1
hatch3r/hatch3r,1
henrybravo/docker-sandbox-run-copilot,1
home-assistant/core,1
homeles/RunWatch,1
iamnbutler/gpui-unofficial,1
inference-sh/shadcn-registry,1
jamesmontemagno/tiny-clips,1
jonathanpeppers/dotnes,1
Josverl/micropython-stubs,1
kaito-tokyo/live-backgroundremoval-lite,1
Keboo/DotnetTemplates,1
langfuse/langfuse,1
LionSR/TNLean,1
lostindark/DriverStoreExplorer,1
meshery/meshery,1
meteostat/meteostat,1
microsoft/apm-action,1
microsoft/azure-pipelines-tasks,1
microsoft/finnts,1
microsoft/GitHub-Copilot-for-Azure,1
microsoft/go-images,1
microsoft/Microsoft-AI-Decision-Framework,1
microsoft/physical-ai-toolchain,1
microsoft/pxt,1
microsoft/pylance-release,1
microsoft/security-devops-azdevops,1
microsoft/skills,1
microsoft/typespec,1
microsoft/vscode-azureresourcegroups,1
microsoft/winget-create,1
microsoft/winget-dsc,1
modeled-information-format/MIF,1
moeru-ai/airi,1
mono/SkiaSharp-API-docs,1
natnew/Awesome-Data-Science,1
natnew/Awesome-Prompt-Engineering,1
navikt/copilot,1
NikiforovAll/keycloak-authorization-services-dotnet,1
oboapp/oboapp,1
ok-oldking/ok-wuthering-waves,1
OP5dev/TF-via-PR,1
open-feature/dotnet-sdk-contrib,1
openvinotoolkit/openvino.genai,1
Philess/gh-copilot-demo,1
primer/css,1
primer/eslint-plugin-primer-react,1
primer/react,1
prowler-cloud/prowler,1
ReactiveX/RxPY,1
ROCm/rocm-libraries,1
royshil/obs-backgroundremoval,1
RustPython/RustPython,1
SatelliteQE/broker,1
SatelliteQE/robottelo,1
SocketDev/socket-mcp,1
SocketDev/socket-registry,1
SocketDev/socket-sdk-js,1
SocketDev/socket-vscode,1
SonarSource/sonarqube-cli,1
SSWConsulting/SSW.Rules,1
SSWConsulting/SSW.Website,1
stbenjam/skillsaw,1
stellar/rs-soroban-sdk,1
stride3d/stride-community-toolkit,1
svenjacobs/lokksmith,1
talk2MeGooseman/stream_closed_captioner_phoenix,1
taosdata/TDengine,1
tenstorrent/tt-metal,1
thaw-app/Thaw,1
tkubica12/gh-copilot-demo,1
UbiHome/UbiHome,1
unipept/unipept,1
vaadin/flow,1
webmaxru/web-ai-agent-skills,1
WordPress/grunt-patch-wordpress,1
wp-media/wp-rocket,1
zircote/rlm-rs,1
ZSWatch/ZSWatch,1
